,cell_name,cell_type,threshold,error,dca_level,pi,info_per_dc
0,bbp001,L1,1,0.014396521725152406,10.0,0.5180667335816889,0.05180667335816889
1,bbp002,L1,1,0.04181069914570225,7.0,0.5103772911218751,0.0729110415888393
2,bbp003,L1,1,0.09311170142758071,11.0,0.531756476133562,0.04834149783032382
3,bbp004,L1,1,0.04032861592622193,11.0,0.5169138551936523,0.04699216865396839
4,bbp005,L1,1,0.02799828527902631,13.0,0.5089506381913085,0.03915004909163911
5,bbp006,L1,1,0.019402138949127217,10.0,0.5044880880805356,0.05044880880805356
6,bbp007,L1,1,0.05333085053707132,12.0,0.5125488987788518,0.042712408231570985
7,bbp008,L1,1,0.04365900122903441,13.0,0.5205400395550384,0.04004154150423372
8,bbp009,L1,1,0.06144173925692236,15.0,0.517376528430612,0.0344917685620408
9,bbp010,L1,1,0.051096126337303344,14.0,0.5124126976324618,0.03660090697374727
10,bbp011,L1,1,0.06599107777872285,12.0,0.5021073637565482,0.04184228031304568
11,bbp012,L1,1,0.09452092707248352,11.0,0.5008418177895939,0.04553107434450854
12,bbp013,L1,1,0.07040824030778378,11.0,0.5030631926695347,0.04573301751541225
13,bbp014,L1,1,0.05490064802865298,7.0,0.5267995197703323,0.07525707425290462
14,bbp017,L23,1,0.0517758807313714,6.0,0.5608793052775676,0.09347988421292792
15,bbp018,L23,1,0.04446987917343163,6.0,0.5646828547739294,0.09411380912898824
16,bbp019,L23,1,0.05734826214350872,6.0,0.5393881171497606,0.08989801952496011
17,bbp020,L23,1,0.048892859360487116,7.0,0.5406698713785991,0.07723855305408558
18,bbp023,L23,1,0.016986266143079687,9.0,0.5190585065111434,0.05767316739012704
19,bbp024,L23,1,0.02489098887061746,13.0,0.5274327215969752,0.04057174781515194
20,bbp025,L23,1,0.039784195765857344,7.0,0.519244743638273,0.07417782051975329
21,bbp026,L23,1,0.013852303940472103,10.0,0.5222211368822235,0.05222211368822235
22,bbp027,L23,1,0.03715461880044662,7.0,0.5185999005791478,0.0740857000827354
23,bbp028,L23,1,0.018284820856135288,10.0,0.5189977833697748,0.051899778336977474
24,bbp031,L23,1,0.01897283959057493,9.0,0.514051277701578,0.05711680863350867
25,bbp032,L23,1,0.014792870212998114,12.0,0.5215806513392183,0.04346505427826819
26,bbp034,L23,1,0.041869000097014025,8.0,0.5132563672766894,0.06415704590958618
27,bbp035,L23,1,0.019123205553624057,13.0,0.5252352482889289,0.04040271140684068
28,bbp036,L23,1,0.03974970253911896,7.0,0.512003172647157,0.07314331037816528
29,bbp037,L23,1,0.026327484261482233,11.0,0.5196385350026038,0.047239866818418526
30,bbp038,L23,1,0.026724946216993402,10.0,0.5146063577670663,0.051460635776706634
31,bbp040,L23,1,0.02739860077847873,9.0,0.5373539058438117,0.059705989538201304
32,bbp041,L23,1,0.013017483735078536,10.0,0.5172005377319391,0.05172005377319391
33,bbp042,L23,1,0.03936580377403607,7.0,0.5333225195321228,0.07618893136173184
34,bbp043,L23,1,0.013209787501390426,11.0,0.5282338993241169,0.04802126357491972
35,bbp045,L23,1,0.030438259599517833,12.0,0.5228092461390658,0.04356743717825548
36,bbp046,L23,1,0.019989965085522428,11.0,0.5191794249322156,0.047198129539292324
37,bbp047,L23,1,0.015615309821622307,12.0,0.5198489035676235,0.04332074196396862
38,bbp048,L23,1,0.054697767828920926,6.0,0.5504309920935072,0.0917384986822512
